month,cpi
1988-05-01,100.0
1988-06-01,103.4
1988-07-01,107.0
1988-08-01,109.3
1988-09-01,110.0
1988-10-01,110.4
1988-11-01,110.5
1988-12-01,110.7
1989-01-01,112.6
1989-02-01,114.2
1989-03-01,117.4
1989-04-01,119.9
1989-05-01,122.3
1989-06-01,125.9
1989-07-01,126.8
1989-08-01,128.5
1989-09-01,131.1
1989-10-01,133.7
1989-11-01,135.7
1989-12-01,138.6
1990-01-01,139.3
1990-02-01,141.5
1990-03-01,142.7
1990-04-01,143.1
1990-05-01,144.4
1990-06-01,145.4
1990-07-01,146.4
1990-08-01,146.8
1990-09-01,146.8
1990-10-01,147.2
1990-11-01,148.2
1990-12-01,148.6
1991-01-01,149.5
1991-02-01,150.0
1991-03-01,150.3
1991-04-01,151.0
1991-05-01,152.8
1991-06-01,154.9
1991-07-01,156.0
1991-08-01,157.2
1991-09-01,158.1
1991-10-01,159.3
1991-11-01,160.0
1991-12-01,159.8
1992-01-01,160.2
1992-02-01,160.4
1992-03-01,160.6
1992-04-01,160.6
1992-05-01,160.5
1992-06-01,161.1
1992-07-01,161.4
1992-08-01,161.4
1992-09-01,161.3
1992-10-01,161.4
1992-11-01,161.4
1992-12-01,162.2
1993-01-01,164.1
1993-02-01,165.3
1993-03-01,165.4
1993-04-01,165.9
1993-05-01,166.3
1993-06-01,166.2
1993-07-01,167.7
1993-08-01,169.2
1993-09-01,169.8
1993-10-01,170.8
1993-11-01,170.8
1993-12-01,169.9
1994-01-01,169.3
1994-02-01,169.5
1994-03-01,169.7
1994-04-01,169.9
1994-05-01,169.9
1994-06-01,170.1
1994-07-01,170.4
1994-08-01,170.5
1994-09-01,171.0
1994-10-01,170.8
1994-11-01,170.7
1994-12-01,170.8
1995-01-01,172.1
1995-02-01,172.3
1995-03-01,172.0
1995-04-01,171.8
1995-05-01,172.1
1995-06-01,172.3
1995-07-01,172.8
1995-08-01,173.5
1995-09-01,174.1
1995-10-01,174.9
1995-11-01,174.3
1995-12-01,174.2
1996-01-01,174.9
1996-02-01,175.2
1996-03-01,175.5
1996-04-01,175.8
1996-05-01,176.9
1996-06-01,176.7
1996-07-01,176.9
1996-08-01,178.0
1996-09-01,178.4
1996-10-01,178.5
1996-11-01,178.6
1996-12-01,177.8
1997-01-01,178.4
1997-02-01,178.5
1997-03-01,178.4
1997-04-01,179.7
1997-05-01,179.4
1997-06-01,179.8
1997-07-01,180.1
